CustomerID,purchase_cnt,item_cnt,recency,user_total,user_average,unique_products,average_interval,total_transactions,cancel_frequency,cancel_rate
12346,2,0,325,0.0,0.0,1,0.0,2,1,0.5
12347,7,2458,2,4310.0,616.0,103,2.0,7,0,0.0
12348,4,2332,75,1437.0,359.0,21,10.85,4,0,0.0
12349,1,630,18,1458.0,1458.0,72,0.0,1,0,0.0
12350,1,196,310,294.0,294.0,16,0.0,1,0,0.0
12352,8,463,36,1265.0,158.0,57,3.11,8,7,0.88
12353,1,20,204,89.0,89.0,4,0.0,1,0,0.0
12354,1,530,232,1079.0,1079.0,58,0.0,1,0,0.0
12355,1,240,214,459.0,459.0,13,0.0,1,0,0.0
12356,3,1573,22,2487.0,829.0,52,5.3,3,0,0.0
12357,1,2708,33,6208.0,6208.0,131,0.0,1,0,0.0
12358,2,242,1,928.0,464.0,12,9.31,2,0,0.0
12359,6,1599,7,6183.0,1031.0,214,1.28,6,6,1.0
12360,3,1156,52,2302.0,767.0,104,1.18,3,0,0.0
12361,1,90,287,175.0,175.0,9,0.0,1,0,0.0
12362,13,2180,3,4666.0,359.0,200,1.09,13,8,0.62
12363,2,408,109,552.0,276.0,23,6.0,2,0,0.0
12364,4,1499,7,1208.0,302.0,69,1.29,4,0,0.0
12365,1,173,291,321.0,321.0,21,0.0,1,0,0.0
12367,1,172,4,151.0,151.0,10,0.0,1,0,0.0
12370,4,2349,51,3422.0,856.0,142,1.88,4,0,0.0
12371,1,582,59,1528.0,1528.0,62,0.0,1,0,0.0
12372,3,788,71,1196.0,399.0,33,4.67,3,0,0.0
12373,1,196,311,325.0,325.0,13,0.0,1,0,0.0
12374,1,339,25,623.0,623.0,32,0.0,1,0,0.0
12375,3,175,2,375.0,125.0,13,6.33,3,1,0.33
12377,2,942,315,1548.0,774.0,71,0.52,2,0,0.0
12378,1,2529,129,4009.0,4009.0,219,0.0,1,0,0.0
12379,3,401,81,775.0,258.0,38,2.29,3,1,0.33
12380,5,1109,21,2424.0,485.0,76,1.62,5,1,0.2
12381,4,772,4,1433.0,358.0,69,1.33,4,4,1.0
12383,6,1515,184,1617.0,270.0,83,1.76,6,1,0.17
12384,3,117,28,406.0,135.0,25,3.37,3,3,1.0
12386,2,354,337,402.0,201.0,10,3.22,2,0,0.0
12388,6,1462,15,2781.0,464.0,57,3.12,6,0,0.0
12390,1,350,79,505.0,505.0,31,0.0,1,0,0.0
12391,1,293,21,440.0,440.0,92,0.0,1,0,0.0
12393,4,816,72,1583.0,396.0,47,4.11,4,0,0.0
12394,2,808,63,1080.0,540.0,25,6.38,2,0,0.0
12395,15,2092,15,2662.0,177.0,90,2.38,15,3,0.2
12397,2,1250,35,2215.0,1108.0,109,0.8,2,0,0.0
12398,1,1389,45,1436.0,1436.0,84,0.0,1,0,0.0
12399,4,1173,119,1034.0,259.0,46,2.63,4,0,0.0
12401,1,10,303,69.0,69.0,4,0.0,1,0,0.0
12402,1,92,323,196.0,196.0,10,0.0,1,0,0.0
12403,1,94,49,392.0,392.0,4,0.0,1,0,0.0
12405,1,849,148,1390.0,1390.0,53,0.0,1,0,0.0
12406,3,1809,22,3281.0,1094.0,92,1.5,3,3,1.0
12407,5,1403,49,1507.0,301.0,56,2.99,5,0,0.0
12408,8,1382,32,2588.0,324.0,80,2.1,8,7,0.88
12409,7,5543,78,11057.0,1580.0,91,0.9,7,5,0.71
12410,3,205,301,521.0,174.0,25,0.27,3,2,0.67
12412,3,824,74,1143.0,381.0,42,1.63,3,0,0.0
12413,4,281,66,676.0,169.0,28,7.47,4,1,0.25
12414,3,297,217,442.0,147.0,15,6.57,3,0,0.0
12415,24,76946,24,123638.0,5152.0,443,0.39,24,61,2.54
12417,12,1514,3,3156.0,263.0,157,1.86,12,6,0.5
12418,1,407,112,669.0,669.0,34,0.0,1,0,0.0
12420,1,345,63,600.0,600.0,29,0.0,1,0,0.0
12421,4,478,15,639.0,160.0,31,7.53,4,0,0.0
12422,3,367,95,684.0,228.0,38,6.16,3,0,0.0
12423,9,1312,0,1624.0,180.0,96,2.97,9,1,0.11
12424,2,740,162,1761.0,881.0,30,0.0,2,0,0.0
12425,1,496,78,777.0,777.0,36,0.0,1,0,0.0
12426,1,254,194,511.0,511.0,29,0.0,1,0,0.0
12427,5,229,11,582.0,116.0,25,11.55,5,4,0.8
12428,11,3477,25,6366.0,579.0,256,0.87,11,5,0.45
12429,4,1538,9,3388.0,847.0,81,3.82,4,0,0.0
12430,1,116,43,216.0,216.0,10,0.0,1,0,0.0
12431,18,2839,35,6244.0,347.0,162,1.41,18,4,0.22
12432,4,1800,42,4359.0,1090.0,106,1.22,4,0,0.0
12433,7,11071,0,13376.0,1911.0,219,0.88,7,0,0.0
12434,4,373,84,765.0,191.0,49,5.19,4,4,1.0
12435,2,2055,79,7830.0,3915.0,31,5.37,2,0,0.0
12436,1,209,99,429.0,429.0,15,0.0,1,0,0.0
12437,19,2889,1,4393.0,231.0,117,1.74,19,1,0.05
12438,2,1169,14,2467.0,1234.0,83,1.32,2,0,0.0
12441,1,120,366,156.0,156.0,10,0.0,1,0,0.0
12442,1,181,3,144.0,144.0,11,0.0,1,0,0.0
12444,5,1130,21,4085.0,817.0,137,0.87,5,0,0.0
12445,1,60,22,77.0,77.0,3,0.0,1,0,0.0
12446,1,351,57,1002.0,1002.0,57,0.0,1,0,0.0
12447,1,187,243,431.0,431.0,25,0.0,1,0,0.0
12448,1,240,44,365.0,365.0,21,0.0,1,0,0.0
12449,4,1523,22,3596.0,899.0,117,0.88,4,0,0.0
12450,2,128,156,198.0,99.0,7,2.43,2,0,0.0
12451,6,6454,10,8894.0,1482.0,264,0.88,6,1,0.17
12452,1,181,16,349.0,349.0,20,0.0,1,0,0.0
12453,1,473,134,707.0,707.0,43,0.0,1,0,0.0
12454,2,0,53,0.0,0.0,15,0.07,2,15,7.5
12455,5,2084,73,2340.0,468.0,84,2.64,5,0,0.0
12456,4,1601,44,2554.0,639.0,104,1.67,4,4,1.0
12457,11,686,58,1598.0,145.0,52,2.81,11,5,0.45
12458,2,502,71,787.0,394.0,34,6.09,2,0,0.0
12461,1,282,154,627.0,627.0,34,0.0,1,0,0.0
12462,4,505,2,872.0,218.0,50,4.33,4,10,2.5
12463,6,751,46,1166.0,194.0,65,2.33,6,4,0.67
12464,8,95,10,957.0,120.0,5,14.1,8,0,0.0
12465,3,471,7,674.0,225.0,45,3.35,3,4,1.33
12468,3,360,143,652.0,217.0,35,4.65,3,2,0.67
12471,45,7846,2,16324.0,363.0,150,0.7,45,70,1.56
12472,13,3992,30,5725.0,440.0,225,0.87,13,52,4.0
12473,4,2323,53,2545.0,636.0,138,0.82,4,7,1.75
12474,30,4715,17,6435.0,215.0,252,0.77,30,33,1.1
12475,1,532,53,669.0,669.0,35,0.0,1,0,0.0
12476,20,2286,1,5629.0,281.0,176,1.39,20,31,1.55
